Name,Epoch,mAP50,mAP50-95,f1,pcs,avg_error,abs_avg_error,inference_time
adam_dropout_0.1,100,0.967,0.793,0.931,88.2,2,3.5,3.46
adam_dropout_0.3,100,0.967,0.793,0.931,88.2,2,3.5,3.31
adam_dropout_0.4,100,0.967,0.793,0.931,88.2,2,3.5,3.29
droput_0.13,100,0.967,0.793,0.931,88.2,2,3.5,3.31
Rot_153,100,0.942,0.754,0.931,90.6,1,3,4.06
Rot_252,100,0.915,0.726,0.931,89.8,0,3,3.26
Scale_0.72,100,0.938,0.758,0.931,89.8,1,3,3.25
Scale_1,100,0.929,0.754,0.931,92.1,1,2.5,3.19
SGD,100,0.934,0.757,0.93,89,1,2.9,3.41
Shear_20,100,0.922,0.736,0.932,88.2,0,3.1,3.24
Shear_302,100,0.944,0.756,0.932,90.6,0,2.8,3.24
Shear_30_Scale_1_Rot_152,100,0.969,0.784,0.931,92.1,0,2.5,3.19
Shear_30_Scale_1_Rot_8,100,0.977,0.785,0.931,90.6,0,2.3,3.9
DeeperDarts4,100,0.967,0.793,0.931
